Date Of Stop	Time Of Stop	Description	Accident	Personal Injury	Property Damage	Fatal	State	VehicleType	Year	Make	Model	Color	Violation Type	Charge	Race	Gender	Driver State	DL State
07/31/2014	22:08:00	DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS	No	No	No	No	MD	02 - Automobile	2013	HONDA	ACCORD	BLACK	Warning	21-201(a1)	BLACK	F	MD	MD
07/31/2014	21:27:00	VEH. HWY. OPERATION WITH INADEQUATE FRONTLAMPS	No	No	No	No	MD	02 - Automobile	2010	HYUNDAI	ELANTRA	SILVER	Warning	22-211(c)	WHITE	F	MD	MD
07/31/2014	01:15:00	FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED	No	No	No	No	DC	02 - Automobile	2004	HYUNDAI	ELANTRA	WHITE	Warning	22-226(a)	BLACK	F	DC	DC
07/31/2014	10:10:00	STOP LIGHTS (*)	No	No	No	No	MD	02 - Automobile	2004	HOND	TK	RED	ESERO	64*	HISPANIC	F	MD	MD
07/31/2014	00:18:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY	No	No	No	No	MD	02 - Automobile	2013	ACURA	ILX	WHITE	Warning	21-801(a)	WHITE	F	MD	MD
07/31/2014	00:18:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	No	No	No	No	MD	02 - Automobile	2013	ACURA	ILX	WHITE	Warning	21-801.1	WHITE	F	MD	MD
07/31/2014	09:33:00	EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE	No	No	No	No	MD	02 - Automobile	2012	LEXUS	CT200R	BLUE	Citation	21-801.1	WHITE	F	MD	MD
07/31/2014	09:41:00	OPERATOR NOT RESTRAINED BY SEATBELT	No	No	No	No	MD	02 - Automobile	2000	TOYOTA	TK	BLACK	Warning	22-412.3(b)	WHITE	M	MD	MD
07/31/2014	08:53:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	No	No	No	No	MD	02 - Automobile	2014	CADI	4DR	BLACK	Warning	21-801.1	WHITE	M	MD	MD
07/31/2014	08:08:00	DRIVING A VEHICLE WHILE A REMOVABLE WINDSHIELD PLACARD IS HANGING FROM THE INSIDE REARVIEW MIRROR	No	No	No	No	MD	02 - Automobile	2007	LEXUS	IS 250	BLACK	Warning	13-616.1(f2)	BLACK	F	MD	MD
07/31/2014	09:50:00	STOP LIGHTS (*)	No	No	No	No	MD	02 - Automobile	2001	FORD	EXPLORER	GREEN	ESERO	64*	HISPANIC	M	MD	MD
07/31/2014	08:59:00	FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER	No	No	No	No	MD	02 - Automobile	2015	MAZDA	MAZDA 6	BLACK	Warning	13-409(b)	WHITE	M	MD	MD
07/31/2014	11:05:00	FAILURE TO DISPLAY TAB ON PLATES OF VEH. AS REQUIRED BY ADM.	No	No	No	No	MD	02 - Automobile	2000	LEXUS	RX300	BLACK	Warning	13-410(e2)	WHITE	M	MD	MD
07/31/2014	13:34:00	DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS	No	No	No	No	PA	02 - Automobile	2003	FORD	EXPLORER	SILVER	Warning	21-201(a1)	WHITE	M	PA	PA
